Session ID,Game Name,Started At,Ended At,Duration (Seconds),Duration (Formatted),Notes
1,The Legend of Zelda: Tears of the Kingdom,2026-03-12T18:45:22.000000,2026-03-12T21:12:45.000000,8843,2h 27m 23s,Explored Hyrule Field and completed a shrine
2,Valorant,2026-03-13T20:15:10.000000,2026-03-13T21:02:33.000000,2843,47m 23s,Ranked matches - won 2 out of 3
3,eFootball,2026-03-14T19:30:05.000000,2026-03-14T20:45:18.000000,4513,1h 15m 13s,
4,Minecraft,2026-03-15T14:20:00.000000,2026-03-15T17:05:42.000000,9942,2h 45m 42s,Built a new base in survival mode
5,Stardew Valley,2026-03-16T10:00:15.000000,2026-03-16T11:30:50.000000,5435,1h 30m 35s,Spring Year 2 - expanded the farm
6,Counter-Strike 2,2026-03-16T21:10:00.000000,2026-03-16T22:25:30.000000,4530,1h 15m 30s,Premier mode practice
7,Animal Crossing: New Horizons,2026-03-17T16:45:00.000000,2026-03-17T18:00:20.000000,4520,1h 15m 20s,Caught rare bugs and redesigned island
8,Elden Ring,2026-03-18T19:00:00.000000,2026-03-18T22:15:45.000000,11745,3h 15m 45s,Defeated a major boss
9,Rocket League,2026-03-19T20:30:10.000000,2026-03-19T21:15:00.000000,2690,44m 50s,Casual 2v2 with friends
10,Civilization VI,2026-03-20T13:00:00.000000,2026-03-20T16:45:30.000000,13530,3h 45m 30s,Science victory attempt on higher difficulty
11,Hades II,2026-03-21T22:00:00.000000,2026-03-21T23:10:15.000000,4215,1h 10m 15s,New run - reached surface
12,FIFA 25,2026-03-22T15:20:00.000000,2026-03-22T16:05:40.000000,2740,45m 40s,Ultimate Team matches
13,Baldur's Gate 3,2026-03-23T18:00:00.000000,2026-03-23T21:30:00.000000,12600,3h 30m 0s,Act 2 progress - major story decisions
14,Among Us,2026-03-24T20:00:00.000000,2026-03-24T20:45:00.000000,2700,45m 0s,Private lobby with friends
15,The Sims 4,2026-03-25T11:15:00.000000,2026-03-25T13:00:00.000000,6300,1h 45m 0s,Built a new family and house
